X1	Y1	X2	Y2	X3	Y3	
693.11	-6912.84	0.03	-0.06	3380.90	5333.61	
695.08	-6912.34	0.03	-0.06	3378.95	5334.32	
697.06	-6911.84	0.03	-0.06	3377.00	5335.03	
699.03	-6911.34	0.03	-0.06	3375.05	5335.74	
701.01	-6910.83	0.03	-0.06	3373.10	5336.44	
702.98	-6910.32	0.03	-0.06	3371.14	5337.15	
704.95	-6909.81	0.03	-0.06	3369.19	5337.85	
706.93	-6909.31	0.03	-0.06	3367.23	5338.55	
708.90	-6908.79	0.03	-0.06	3365.28	5339.25	
710.88	-6908.28	0.03	-0.06	3363.32	5339.94	
712.85	-6907.77	0.03	-0.06	3361.36	5340.64	
714.82	-6907.25	0.03	-0.06	3359.40	5341.34	
716.80	-6906.73	0.03	-0.06	3357.44	5342.03	
718.77	-6906.22	0.03	-0.06	3355.48	5342.72	
720.74	-6905.70	0.03	-0.06	3353.52	5343.41	
722.72	-6905.18	0.03	-0.06	3351.55	5344.10	
724.69	-6904.65	0.03	-0.06	3349.59	5344.78	
726.66	-6904.13	0.03	-0.06	3347.62	5345.47	
728.63	-6903.60	0.03	-0.06	3345.66	5346.15	
730.61	-6903.08	0.03	-0.06	3343.69	5346.84	
732.58	-6902.55	0.03	-0.06	3341.72	5347.52	
734.55	-6902.02	0.03	-0.06	3339.75	5348.20	
736.52	-6901.49	0.03	-0.06	3337.78	5348.88	
738.49	-6900.95	0.03	-0.06	3335.81	5349.55	
740.46	-6900.42	0.03	-0.07	3333.84	5350.23	
742.44	-6899.88	0.03	-0.07	3331.87	5350.90	
744.41	-6899.35	0.03	-0.07	3329.90	5351.57	
746.38	-6898.81	0.03	-0.07	3327.92	5352.24	
748.35	-6898.27	0.03	-0.07	3325.95	5352.91	
750.32	-6897.73	0.03	-0.07	3323.97	5353.58	
752.29	-6897.18	0.03	-0.07	3321.99	5354.25	
754.26	-6896.64	0.03	-0.07	3320.01	5354.91	
756.23	-6896.09	0.03	-0.07	3318.04	5355.57	
758.20	-6895.55	0.03	-0.07	3316.06	5356.23	
760.17	-6895.00	0.03	-0.07	3314.07	5356.89	
762.14	-6894.45	0.03	-0.07	3312.09	5357.55	
764.11	-6893.90	0.03	-0.07	3310.11	5358.21	
766.08	-6893.34	0.03	-0.07	3308.13	5358.87	
768.05	-6892.79	0.03	-0.07	3306.14	5359.52	
770.02	-6892.23	0.03	-0.07	3304.16	5360.17	
771.99	-6891.67	0.03	-0.07	3302.17	5360.82	
773.96	-6891.12	0.03	-0.07	3300.18	5361.47	
775.92	-6890.56	0.03	-0.07	3298.19	5362.12	
777.89	-6889.99	0.03	-0.07	3296.20	5362.77	
779.86	-6889.43	0.03	-0.07	3294.21	5363.41	
781.83	-6888.87	0.03	-0.07	3292.22	5364.06	
783.80	-6888.30	0.03	-0.07	3290.23	5364.70	
785.76	-6887.73	0.03	-0.07	3288.24	5365.34	
787.73	-6887.16	0.03	-0.07	3286.24	5365.98	
789.70	-6886.59	0.03	-0.07	3284.25	5366.61	
791.67	-6886.02	0.03	-0.07	3282.25	5367.25	
793.63	-6885.45	0.03	-0.07	3280.26	5367.89	
795.60	-6884.87	0.03	-0.08	3278.26	5368.52	
797.57	-6884.30	0.03	-0.08	3276.26	5369.15	
799.53	-6883.72	0.03	-0.08	3274.26	5369.78	
801.50	-6883.14	0.03	-0.08	3272.26	5370.41	
803.47	-6882.56	0.03	-0.08	3270.26	5371.03	
805.43	-6881.98	0.03	-0.08	3268.26	5371.66	
807.40	-6881.39	0.03	-0.08	3266.26	5372.28	
809.37	-6880.81	0.03	-0.08	3264.25	5372.91	
811.33	-6880.22	0.04	-0.08	3262.25	5373.53	
813.30	-6879.63	0.04	-0.08	3260.24	5374.15	
815.26	-6879.05	0.04	-0.08	3258.23	5374.76	
817.23	-6878.46	0.04	-0.08	3256.23	5375.38	
819.19	-6877.86	0.04	-0.08	3254.22	5376.00	
821.16	-6877.27	0.04	-0.08	3252.21	5376.61	
823.12	-6876.67	0.04	-0.08	3250.20	5377.22	
825.09	-6876.08	0.04	-0.08	3248.19	5377.83	
827.05	-6875.48	0.04	-0.08	3246.17	5378.44	
829.01	-6874.88	0.04	-0.08	3244.16	5379.05	
830.98	-6874.28	0.04	-0.08	3242.15	5379.65	
832.94	-6873.68	0.04	-0.08	3240.13	5380.26	
834.90	-6873.07	0.04	-0.08	3238.12	5380.86	
836.87	-6872.47	0.04	-0.08	3236.10	5381.46	
838.83	-6871.86	0.04	-0.08	3234.08	5382.06	
840.79	-6871.25	0.04	-0.08	3232.06	5382.66	
842.76	-6870.64	0.04	-0.08	3230.04	5383.25	
844.72	-6870.03	0.04	-0.08	3228.02	5383.85	
846.68	-6869.42	0.04	-0.09	3226.00	5384.44	
848.64	-6868.81	0.04	-0.09	3223.98	5385.03	
850.61	-6868.19	0.04	-0.09	3221.95	5385.62	
852.57	-6867.57	0.04	-0.09	3219.93	5386.21	
854.53	-6866.96	0.04	-0.09	3217.91	5386.80	
856.49	-6866.34	0.04	-0.09	3215.88	5387.39	
858.45	-6865.72	0.04	-0.09	3213.85	5387.97	
860.41	-6865.09	0.04	-0.09	3211.82	5388.55	
862.38	-6864.47	0.04	-0.09	3209.80	5389.14	
864.34	-6863.84	0.04	-0.09	3207.77	5389.72	
866.30	-6863.22	0.04	-0.09	3205.74	5390.29	
868.26	-6862.59	0.04	-0.09	3203.70	5390.87	
870.22	-6861.96	0.04	-0.09	3201.67	5391.45	
872.18	-6861.33	0.04	-0.09	3199.64	5392.02	
874.14	-6860.69	0.04	-0.09	3197.60	5392.59	
876.10	-6860.06	0.04	-0.09	3195.57	5393.16	
878.06	-6859.42	0.04	-0.09	3193.53	5393.73	
880.02	-6858.79	0.04	-0.09	3191.50	5394.30	
881.98	-6858.15	0.04	-0.09	3189.46	5394.86	
883.93	-6857.51	0.04	-0.09	3187.42	5395.43	
885.89	-6856.87	0.04	-0.09	3185.38	5395.99	
887.85	-6856.22	0.04	-0.09	3183.34	5396.55	
889.81	-6855.58	0.04	-0.09	3181.30	5397.11	
891.77	-6854.93	0.04	-0.09	3179.26	5397.67	
893.73	-6854.29	0.04	-0.10	3177.21	5398.23	
895.68	-6853.64	0.04	-0.10	3175.17	5398.78	
897.64	-6852.99	0.04	-0.10	3173.12	5399.34	
899.60	-6852.34	0.04	-0.10	3171.08	5399.89	
901.56	-6851.68	0.04	-0.10	3169.03	5400.44	
903.51	-6851.03	0.04	-0.10	3166.98	5400.99	
905.47	-6850.37	0.04	-0.10	3164.93	5401.54	
907.43	-6849.72	0.04	-0.10	3162.89	5402.08	
909.38	-6849.06	0.04	-0.10	3160.83	5402.63	
911.34	-6848.40	0.04	-0.10	3158.78	5403.17	
913.30	-6847.73	0.05	-0.10	3156.73	5403.71	
915.25	-6847.07	0.05	-0.10	3154.68	5404.25	
917.21	-6846.41	0.05	-0.10	3152.62	5404.79	
