X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	
0.00	-0.00	-4961.49	-389.00	4961.49	389.00	389.00	-4961.49	-389.00	4961.49	
0.00	-0.00	-4961.10	-390.98	4961.10	390.98	390.98	-4961.10	-390.98	4961.10	
0.00	-0.00	-4960.70	-392.97	4960.70	392.97	392.97	-4960.70	-392.97	4960.70	
0.00	-0.00	-4960.30	-394.95	4960.30	394.95	394.95	-4960.30	-394.95	4960.30	
0.00	-0.00	-4959.90	-396.94	4959.90	396.94	396.94	-4959.90	-396.94	4959.90	
0.00	-0.00	-4959.50	-398.92	4959.50	398.92	398.92	-4959.50	-398.92	4959.50	
0.00	-0.00	-4959.10	-400.90	4959.10	400.90	400.90	-4959.10	-400.90	4959.10	
0.00	-0.00	-4958.69	-402.89	4958.69	402.89	402.89	-4958.69	-402.89	4958.69	
0.00	-0.00	-4958.28	-404.87	4958.28	404.87	404.87	-4958.28	-404.87	4958.28	
0.00	-0.00	-4957.87	-406.85	4957.87	406.85	406.85	-4957.87	-406.85	4957.87	
0.00	-0.00	-4957.46	-408.84	4957.46	408.84	408.84	-4957.46	-408.84	4957.46	
0.00	-0.00	-4957.04	-410.82	4957.04	410.82	410.82	-4957.04	-410.82	4957.04	
0.00	-0.00	-4956.63	-412.80	4956.63	412.80	412.80	-4956.63	-412.80	4956.63	
0.00	-0.00	-4956.21	-414.79	4956.21	414.79	414.79	-4956.21	-414.79	4956.21	
0.00	-0.00	-4955.79	-416.77	4955.79	416.77	416.77	-4955.79	-416.77	4955.79	
0.00	-0.00	-4955.37	-418.75	4955.37	418.75	418.75	-4955.37	-418.75	4955.37	
0.00	-0.00	-4954.94	-420.73	4954.94	420.73	420.73	-4954.94	-420.73	4954.94	
0.00	-0.00	-4954.51	-422.71	4954.51	422.71	422.71	-4954.51	-422.71	4954.51	
0.00	-0.00	-4954.09	-424.70	4954.09	424.70	424.70	-4954.09	-424.70	4954.09	
0.00	-0.00	-4953.65	-426.68	4953.65	426.68	426.68	-4953.65	-426.68	4953.65	
0.00	-0.00	-4953.22	-428.66	4953.22	428.66	428.66	-4953.22	-428.66	4953.22	
0.00	-0.00	-4952.79	-430.64	4952.79	430.64	430.64	-4952.79	-430.64	4952.79	
0.00	-0.00	-4952.35	-432.62	4952.35	432.62	432.62	-4952.35	-432.62	4952.35	
0.00	-0.00	-4951.91	-434.60	4951.91	434.60	434.60	-4951.91	-434.60	4951.91	
0.00	-0.00	-4951.47	-436.58	4951.47	436.58	436.58	-4951.47	-436.58	4951.47	
0.00	-0.00	-4951.03	-438.56	4951.03	438.56	438.56	-4951.03	-438.56	4951.03	
0.00	-0.00	-4950.58	-440.54	4950.58	440.54	440.54	-4950.58	-440.54	4950.58	
0.00	-0.00	-4950.14	-442.52	4950.14	442.52	442.52	-4950.14	-442.52	4950.14	
0.00	-0.00	-4949.69	-444.50	4949.69	444.50	444.50	-4949.69	-444.50	4949.69	
0.00	-0.00	-4949.24	-446.48	4949.24	446.48	446.48	-4949.24	-446.48	4949.24	
0.00	-0.00	-4948.78	-448.46	4948.78	448.46	448.46	-4948.78	-448.46	4948.78	
0.00	-0.00	-4948.33	-450.44	4948.33	450.44	450.44	-4948.33	-450.44	4948.33	
0.00	-0.00	-4947.87	-452.42	4947.87	452.42	452.42	-4947.87	-452.42	4947.87	
0.00	-0.00	-4947.41	-454.40	4947.41	454.40	454.40	-4947.41	-454.40	4947.41	
0.00	-0.00	-4946.95	-456.38	4946.95	456.38	456.38	-4946.95	-456.38	4946.95	
0.00	-0.00	-4946.49	-458.36	4946.49	458.36	458.36	-4946.49	-458.36	4946.49	
0.00	-0.00	-4946.02	-460.34	4946.02	460.34	460.34	-4946.02	-460.34	4946.02	
0.00	-0.00	-4945.56	-462.31	4945.56	462.31	462.31	-4945.56	-462.31	4945.56	
0.00	-0.00	-4945.09	-464.29	4945.09	464.29	464.29	-4945.09	-464.29	4945.09	
0.00	-0.00	-4944.62	-466.27	4944.62	466.27	466.27	-4944.62	-466.27	4944.62	
0.00	-0.00	-4944.14	-468.25	4944.14	468.25	468.25	-4944.14	-468.25	4944.14	
0.00	-0.00	-4943.67	-470.23	4943.67	470.23	470.23	-4943.67	-470.23	4943.67	
0.00	-0.00	-4943.19	-472.20	4943.19	472.20	472.20	-4943.19	-472.20	4943.19	
0.00	-0.00	-4942.71	-474.18	4942.71	474.18	474.18	-4942.71	-474.18	4942.71	
0.00	-0.00	-4942.23	-476.16	4942.23	476.16	476.16	-4942.23	-476.16	4942.23	
0.00	-0.00	-4941.75	-478.13	4941.75	478.13	478.13	-4941.75	-478.13	4941.75	
0.00	-0.00	-4941.26	-480.11	4941.26	480.11	480.11	-4941.26	-480.11	4941.26	
0.00	-0.00	-4940.78	-482.09	4940.78	482.09	482.09	-4940.78	-482.09	4940.78	
0.00	-0.00	-4940.29	-484.06	4940.29	484.06	484.06	-4940.29	-484.06	4940.29	
0.00	-0.00	-4939.80	-486.04	4939.80	486.04	486.04	-4939.80	-486.04	4939.80	
